filename, language, JSON, JavaScript, TypeScript, HTML, SCSS, comment, blank, total
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\global.scss, SCSS, 0, 0, 0, 0, 19, 17, 9, 45
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\index.html, HTML, 0, 0, 0, 18, 0, 1, 6, 25
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\main.ts, TypeScript, 0, 0, 9, 0, 0, 0, 4, 13
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\polyfills.ts, TypeScript, 0, 0, 2, 0, 0, 55, 10, 67
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\test.ts, TypeScript, 0, 0, 13, 0, 0, 4, 4, 21
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\theme\variables.scss, SCSS, 0, 0, 0, 0, 56, 12, 11, 79
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\zone-flags.ts, TypeScript, 0, 0, 1, 0, 0, 4, 1, 6
c:\Users\alimc\Desktop\final_year_project\finalYearApp\tsconfig.app.json, JSON, 14, 0, 0, 0, 0, 0, 1, 15
c:\Users\alimc\Desktop\final_year_project\finalYearApp\tsconfig.json, JSON, 26, 0, 0, 0, 0, 0, 1, 27
c:\Users\alimc\Desktop\final_year_project\finalYearApp\tsconfig.spec.json, JSON, 19, 0, 0, 0, 0, 0, 1, 20
c:\Users\alimc\Desktop\final_year_project\finalYearApp\tslint.json, JSON, 88, 0, 0, 0, 0, 0, 1, 89
Total, -, 92941, 52, 2276, 475, 132, 395, 539, 96810
